Department,Course Catalogue Number,Course Name,Description,Graduate/Undergraduate,Lab,Year,Keywords
AGEC - Agricultural Economics (AGEC),AGEC 325,Principles of Farm and Ranch Management,"Agribusiness managerial decision making and analysis in different market environments; emphasis is on profit maximization; lab focuses on using computerized methods for evaluating management alternatives for farming and ranching problem situations. Prerequisites: AGEC 105 or ECON 202; junior or senior non-agricultural economics, nonagribusiness majors only; and knowledge of Excel.",UG,TRUE,2016-2017,"['agri', 'farm', ' ranch']"
AGEC - Agricultural Economics (AGEC),AGEC 330,Financial Management in Agriculture,"Principles of financial management of farms, ranches, and other agribusiness firms; financial statements, financial statement analysis, time value of money, investment analysis, firm growth, risk management, credit analysis and best business management practices. Prerequisites: AGEC 105 or 3 hours of economics; ACCT 209 or ACCT 229; and junior or senior classification.",UG,FALSE,2016-2017,"['agri', 'farm', 'management practice', ' ranch']"
AGEC - Agricultural Economics (AGEC),AGEC 340,Agribusiness Management,"Survey of management practices throughout the food marketing chain; focuses on farm and ranch suppliers, farmers and ranchers, first handlers, food processors, food distributors, and restaurants, food retailers and institutions; use of case studies and models for the purpose of evaluating firm management success. Prerequisites: AGEC 105 or 3 hours of economics; and junior or senior classification.",UG,FALSE,2016-2017,"['agri', 'farm', 'food', 'management practice', ' ranch', ' restaurant']"
AGEC - Agricultural Economics (AGEC),AGEC 344,Food and Agricultural Law,"
   Legal principles relevant to the farm family and business; characteristics of legal decisions and rules on property rights, and fencing laws; analysis of global, national, state, and local legal issues in contracts, torts, water, pollution, and natural resources. Prerequisite: Junior or senior classification.
",UG,FALSE,2016-2017,"['agri', 'farm', 'food']"
AGEC - Agricultural Economics (AGEC),AGEC 350,Environmental and Natural Resource Economics,"
   Inspection of issues such as environmental degradation, population growth, recycling, water use and depletion, natural habitat protection, water and air pollution, acid deposition, fishery management, and global warming using economically derived principles and tools. Prerequisite: Junior or senior classification.
",UG,FALSE,2016-2017,[' fish']
AGEC - Agricultural Economics (AGEC),AGEC 401,Global Agri-Industries and Markets: Study Abroad,Understanding agriindustries and markets; analysis of production; importing; exporting; provides classroom experience with an exposure to a variety of global cultures in an international setting. Course may be repeated 3 times for credit. Prerequisites: AGEC 105 or 3 hours of economics; junior or senior classification or approval of department head.,UG,FALSE,2016-2017,['agri']
AGEC - Agricultural Economics (AGEC),AGEC 402,Survey of International Agricultural Economics: Study Abroad,"Examine, from an international setting, the shape of international agriculture; how culture, history, politics and geography in foreign countries affect the production and management of agricultural products; agricultural policy formation; countries' natural resources and competitive strategies; may be taken 3 times for credit. Prerequisites: AGEC 105 or 3 hours of economics; junior or senior classification or approval of department head.",UG,FALSE,2016-2017,['agri']
AGEC - Agricultural Economics (AGEC),AGEC 413,Agricultural Cooperatives,"Historical development and principles of cooperative associations in our economic system; organizational and operational aspects of cooperatives; legal considerations, financing, management, and member relations; and future role of cooperatives. Prerequisites: AGEC 105; AGEC 314; and junior or senior classification.",UG,FALSE,2016-2017,['agri']
AGEC - Agricultural Economics (AGEC),AGEC 414,Agribusiness and Food Market Analysis,Application of economic and marketing principles to contemporary food and agribusiness marketing; practical marketing management for agribusiness firms; market analysis; and marketing strategy and planning as related to the emerging trends in the global food and agribusiness sector of the economy. Prerequisites: AGEC 317; FINC 341; MKTG 321; and junior or senior agribusiness majors only.,UG,FALSE,2016-2017,"['agri', 'food']"
AGEC - Agricultural Economics (AGEC),AGEC 415,Food and Agribusiness Strategic Market Planning,"Development of a market plan targeting the food and agribusiness market sector; market analysis; business propositions; action plans for executing the 4 P's (Product, Price, Place, Promotion); monitoring and measurement. Prerequisites: AGEC 314 or MKTG 321 or MKTG 409; AGEC 315; junior or senior classification or approval of instructor.",UG,FALSE,2016-2017,"['agri', 'food']"
AGEC - Agricultural Economics (AGEC),AGEC 422,Land Economics,"Economic, institutional, and physical factors involved in the use and control of natural resources; includes elements of introductory land economics as a discipline, economic foundations of land economics, institutional influences on land use, and the effects of public policy on land use. Prerequisites: AGEC 105 or 3 hours economics; and junior or senior classification.",UG,FALSE,2016-2017,['land']
AGEC - Agricultural Economics (AGEC),AGEC 423,Establishing Agribusiness Entrepreneurship Networks II,"Engagement opportunities with successful agri/metropolitan entrepreneurs and other professionals, focusing on strategies and tactics for starting and sustaining viable rural and metropolitan business ventures; emphasis on importance of, and how to, develop relationships with a broad spectrum of mentors. Prerequisites: Concurrent enrollment in AGEC 424; junior or senior classification or approval of instructor. May not enroll in AGEC 223 and AGEC 423 during the same semester.",UG,FALSE,2016-2017,"['agri', ' rural ']"
AGEC - Agricultural Economics (AGEC),AGEC 424,Agribusiness Entrepreneurship – Economic Analysis,"Strategic planning regarding economic feasibility of a single-enterprise rural or metropolitan business venture; emphasis on processes for developing a comprehensive enterprise budget and construction and evaluation of risk management alternatives; exchanges with “real-world” entrepreneurs, financial experts and other management personnel; computer capabilities essential. Prerequisites: AGEC 105 or ECON 202; ACCT 209 or ACCT 210 or ACCT 229 or ACCT 230 or AGEC 324 or AGEC 330 or FINC 341 or FINC 409; junior or senior classification or approval of instructor.",UG,TRUE,2016-2017,"['agri', ' rural ']"
AGEC - Agricultural Economics (AGEC),AGEC 425,Agribusiness Entrepreneurship – Financial Analysis,"Strategic planning regarding rural and metropolitan business ventures; emphasis on processes for developing comprehensive economics and financial prospectuses, including enterprise budgets, risk management planning, cash flow budgeting, net worth statements, income budgets, reconciliation statements and shock analysis; mentoring exchanges with “real-world entrepreneurs, financial experts and other management personnel.  Prerequisites: AGEC 424; and junior or senior classification.",UG,TRUE,2016-2017,"['agri', ' rural ']"
AGEC - Agricultural Economics (AGEC),AGEC 429,Agricultural Policy,"Analysis of the causes, nature, and effects of government participation in agriculture; and interrelationship of the American agriculture and agribusiness sector with the political and economic system, public administration, and interest group representation. Prerequisites: AGEC 105, ECON 202 or ECON 203; ENGL 103 or ENGL 104; and junior or senior classification.",UG,FALSE,2016-2017,['agri']
AGEC - Agricultural Economics (AGEC),AGEC 430,Macroeconomics of Agriculture,"Basic functioning of U.S. economy and relationship to agriculture; the differential effects of macroeconomic policy on disposable income, interest rates, unemployment, inflation and exchange rates; impact on agricultural commodity prices, farm input costs, net farm income, farmland values and key financial indicators. Prerequisites: AGEC 105 or 3 hours of economics; AGEC 317 or concurrent enrollment; AGEC 429; AGEC 330 or FINC 341 or FINC 409; and junior or senior classification.",UG,FALSE,2016-2017,"['agri', 'farm', 'land']"
AGEC - Agricultural Economics (AGEC),AGEC 431,Cases in Agribusiness Finance,"Financial management of agribusiness firms; advanced topics in financial statement analysis, liquidity management, investment analysis, and capital structure illustrated through examination of agribusiness cases. Prerequisites: AGEC 317; AGEC 340; FINC 341; and junior or senior agribusiness majors only.",UG,FALSE,2016-2017,['agri']
AGEC - Agricultural Economics (AGEC),AGEC 432,Rural Real Estate and Financial Analysis,Advanced topics in investment analysis; financial intermediation in agriculture; real estate markets and market analysis; and appraisal valuation. Prerequisites: AGEC 317 (waived for nonmajors); AGEC 330 or FINC 341 or FINC 409; AGEC 422; ACCT 210 or ACCT 230; and junior or senior classification.,UG,FALSE,2016-2017,"['agri', ' rural ']"
AGEC - Agricultural Economics (AGEC),AGEC 434,Rural Financial Markets and Financial Planning,"Organization, structure, conduct and regulation of lending institutions serving commercial agriculture and rural borrowers; borrower financial statement analysis, business forecasting, investment analysis and loan application process; lender credit application underwriting standards, credit scoring and loan decision making process; agricultural loan portfolio analysis. Prerequisites: ACCT 209 or ACCT 229; ACCT 210 or ACCT 230; AGEC 330 or FINC 341 or FINC 409; junior or senior classification.",UG,FALSE,2016-2017,"['agri', ' rural ']"
AGEC - Agricultural Economics (AGEC),AGEC 440,Agribusiness Strategic Analysis,"Strategic management and economic principles for the agribusiness system; problem recognition and applied managerial/economic decision making with related considerations in marketing, production, or finance for agribusiness firms. Prerequisites: AGEC 317; AGEC 340; FINC 341; MGMT 363; MKTG 321; and junior or senior agribusiness majors only.",UG,FALSE,2016-2017,['agri']
AGEC - Agricultural Economics (AGEC),AGEC 447,Food and Agricultural Price Analysis,Factors influencing the level of food and agricultural prices; price trends and seasonal variation; methods of forecasting demands and prices; and futures trading. Prerequisites: AGEC 314; AGEC 317; and junior or senior classification.,UG,FALSE,2016-2017,"['agri', 'food']"
AGEC - Agricultural Economics (AGEC),AGEC 448,Agricultural Commodity Futures,"Activities of commodity futures exchanges; the mechanics of trading futures contracts; the use of futures trading for hedging and forward pricing; and options, basis behavior, and hedging strategies for selected commodities. Prerequisites: AGEC 105 or 3 hours of economics; AGEC 314; AGEC 317 or concurrent enrollment; and junior or senior classification; or approval of department head.",UG,FALSE,2016-2017,['agri']
AGEC - Agricultural Economics (AGEC),AGEC 452,International Trade and Agriculture,"Changing role of U.S. agriculture in a dynamic world economy; national and international policies and institutions affecting agriculture; and exchange rates, tariffs, and non-tariff barriers. Prerequisites: AGEC 105 or 3 hours of economics; and junior or senior classification.",UG,FALSE,2016-2017,['agri']
AGEC - Agricultural Economics (AGEC),AGEC 453,International Agribusiness Marketing,"Basic competencies in international marketing of agri-foods; and market entry, pricing, payment, finance, and promotion. Prerequisites: AGEC 105 or 3 hours of economics; and junior or senior classification.",UG,FALSE,2016-2017,"['agri', 'food']"
AGEC - Agricultural Economics (AGEC),AGEC 460,Cross-Cutting Issues in Agricultural Economics,"Examination of economic theory and its history; emphasis on the areas of agricultural business, finance, macroeconomics, management, marketing, microeconomics, quantitative analysis, resources, and economics policy; emphasis on the ability to properly analyze economic problems. Prerequisites: AGEC 317; AGEC 314 or MKTG 321 or MKTG 409; AGEC 330 or FINC 341 or FINC 409; AGEC 429; agricultural economics and agribusiness majors only; junior or senior classification or approval of instructor.",UG,FALSE,2016-2017,['agri']
AGEC - Agricultural Economics (AGEC),AGEC 481,Ethics in Agribusiness and Agricultural Economics,"Examination of the principals of ethical business behavior; context created through assigned readings, guest speakers from various law enforcement branches and private industry; student written reports about their own experiences relative to this context; attention given to establishing personal principles for an ethical business career. Prerequisites: AGEC 217; junior or senior classification; and agricultural economics or agribusiness majors only.",UG,FALSE,2016-2017,['agri']
AGEC - Agricultural Economics (AGEC),AGEC 484,Internship,Supervised experience program conducted in the area of the student's interest in agricultural economics and agribusiness. May be taken two times. Prerequisite: See an advisor in Room 214 AGLS Building.,UG,FALSE,2016-2017,['agri']
AGEC - Agricultural Economics (AGEC),AGEC 489,Special Topics in...,"
   Selected topics in an identified area of agricultural economics. May be repeated for credit. Prerequisite: Junior or senior classification.
",UG,FALSE,2016-2017,['agri']
AGEC - Agricultural Economics (AGEC),AGEC 491,Research,Research conducted under the direction of faculty member in agricultural economics. May be repeated 3 times for credit. Registration in multiple sections of this course are possible within a given semester provided that the per semester credit hour limit is not exceeded. Prerequisites: Junior or senior classification and approval of department head; see an advisor in Room 214 AGLS Building.,UG,FALSE,2016-2017,['agri']
AGLS - Ag & Life Sciences (AGLS),AGLS 101,Modern Agricultural Systems and Renewable Natural Resources,"(AGRI 1131, 1231) Modern Agricultural Systems and Renewable Natural Resources.   An introduction to modern agriculture and the natural, human and scientific resources upon which it depends. Freshman or sophomore classification.",UG,FALSE,2016-2017,['agri']
AGLS - Ag & Life Sciences (AGLS),AGLS 105,Research in Agriculture and Life Sciences,"
   An introduction to the research process as applied to agriculture, renewable natural resources and biological sciences. Prerequisite: Freshman classification, major in College of Agriculture and Life Sciences and approval of instructor.
",UG,FALSE,2016-2017,['agri']
AGLS - Ag & Life Sciences (AGLS),AGLS 289,Special Topics in...,"
   Selected topics in an identified area of agriculture and life science. May be repeated for credit. Prerequisite: Freshman or sophomore.
",UG,FALSE,2016-2017,['agri']
AGLS - Ag & Life Sciences (AGLS),AGLS 292,Cooperative Education in Agriculture,"
   Educational work assignment by a student in the field of his or her career interest and course of study; supervision of the student by the cooperating employer and the instructor; a technical report, approved by the instructor, on a related subject area required. Prerequisite: Approval of the college coordinator of cooperative education.
",UG,FALSE,2016-2017,['agri']
AGLS - Ag & Life Sciences (AGLS),AGLS 301,College of Agriculture and Life Sciences Study Abroad,"
   For students in approved programs abroad. May be repeated for credit. Prerequisites: Admission to approved program and approval of academic dean.
",UG,FALSE,2016-2017,['agri']
AGLS - Ag & Life Sciences (AGLS),AGLS 392,Cooperative Education in Agriculture,"Educational work assignment by a student in the field of his or her career interest and course of study. Supervision of the student by the cooperating employer and the instructor; a technical report, approved by the instructor, on a related subject area required. Prerequisite: AGLS 292.",UG,FALSE,2016-2017,['agri']
AGLS - Ag & Life Sciences (AGLS),AGLS 489,Special Topics in...,"
   Selected topics in an identified area of agricultural and life sciences.
",UG,FALSE,2016-2017,['agri']
AGLS - Ag & Life Sciences (AGLS),AGLS 492,Cooperative Education in Agriculture,"Educational work assignment by a student in the field of his or her career interest and course of study; supervision of the student by the cooperating employer and the instructor; a technical report, approved by the instructor, on a related subject area required. Prerequisite: AGLS 392.",UG,FALSE,2016-2017,['agri']
AGRO - Agronomy (AGRO),AGLS 492,Cooperative Education in Agriculture,"
",UG,TRUE,2016-2017,['agro']
AGSC - Agricultural Science (AGSC),AGSC 285,Directed Studies,"
   Directed individual study of selected problems in agricultural science with emphasis on collection, analysis and presentation of information. May be repeated for credit. Prerequisite: Approval of instructor.
",UG,FALSE,2016-2017,['agri']
AGSC - Agricultural Science (AGSC),AGSC 289,Special Topics in...,"
   Special topics in an identified area of agricultural science. May be repeated for credit. Prerequisite: Approval of department head.
",UG,FALSE,2016-2017,['agri']
AGSC - Agricultural Science (AGSC),AGSC 291,Research,Research conducted under the direction of faculty member in agricultural science. May be repeated 2 times for credit. Prerequisites: Freshman or sophomore classification and approval of instructor.,UG,FALSE,2016-2017,['agri']
AGSC - Agricultural Science (AGSC),AGSC 301,Introduction to Agricultural Science Teaching,"
   Introduction to agricultural science teaching at the secondary level; an overview of preparing teachers for a changing world including knowledge of learners, subject matter and teaching within the context of agricultural science. Prerequisite: Junior or senior classification.
",UG,FALSE,2016-2017,['agri']
AGSC - Agricultural Science (AGSC),AGSC 305,Management of Supervised Agricultural Experiences,"
   Overview of supervised agricultural experiences (SAEs) and content that can be used in the secondary agricultural science program; engagement in SAE programs; management practices for SAE projects including record keeping and student reports. Prerequisite: Junior or senior classification.
",UG,FALSE,2016-2017,"['agri', 'management practice']"
AGSC - Agricultural Science (AGSC),AGSC 373,Managing Safety in the Agricultural Science Program,"
   Safety principles and procedures, methods of teaching and motivating students in agricultural mechanics; design for those preparing to teach agricultural science in Texas public schools. Prerequisite: Junior or senior classification.
",UG,TRUE,2016-2017,['agri']
AGSC - Agricultural Science (AGSC),AGSC 380,Workshop in Agricultural Science,"
   The study, understanding and solution of human-agricultural problems based on theory learned in the classroom, library, laboratory and fieldwork completed by individuals and teams. Prerequisite: Junior or senior classification.
",UG,FALSE,2016-2017,['agri']
