Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy,Keyword
AGCM 2113,Agricultural Communications (AGCM),Introduction to Agricultural Communications,"Fundamentals of agricultural news writing and other communication methods. Careers in and the role of the media in agriculture and related fields.  Previously offered as AGCM 2103 and AGCM 4453.

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGCM 3100,Agricultural Communications (AGCM),Special Topics in Agricultural Communications,"Investigation of specialized and/or advanced topics and issues related to agricultural communications. Previously offered as AGCM 3101.

Offered for variable credit, 1-3 credit hours, maximum of 6 credit hours.

",Undergraduate,Independent Study,False,2020-2021,,,,['agri']
AGCM 3103,Agricultural Communications (AGCM),Written Communications in Agricultural Sciences and Natural Resources,"Understanding and application of writing principles and communications theory as related to public issues in agriculture, food and natural resources. 

",Undergraduate,Lecture,False,2020-2021,,,,"['agri', 'food']"
AGCM 3113,Agricultural Communications (AGCM),Writing and Editing for Agricultural Publications,"Interviewing, reporting, writing, and editing for agricultural publications.

",Undergraduate,"Lab, Lecture, Combined lecture and lab",True,2020-2021,,,,['agri']
AGCM 3123,Agricultural Communications (AGCM),Audio and Video Storytelling in Agricultural Communications,"Exploration and application of audio and video media storytelling techniques for agricultural communicators as used in promoting, marketing and communicating about agriculture, food, natural resources and the environment.

",Undergraduate,"Lab, Lecture, Combined lecture and lab",True,2020-2021,,,,"['agri', 'food']"
AGCM 3203,Agricultural Communications (AGCM),Oral Communications in Agricultural Sciences & Natural Resources (S),"Application of oral communications skills used in the dissemination of information related to agricultural sciences and natural resources, and related topics.  Acquisition of interpersonal communications skills and small group, impromptu and professional presentation skills.

",Undergraduate,"Lab, Lecture, Combined lecture and lab",True,2020-2021,,,,['agri']
AGCM 3213,Agricultural Communications (AGCM),Layout and Design for Agricultural Publications,"Fundamentals of layout and design as applied to agricultural publications. Practical application of design principles, typography, design software and printing practices. 

",Undergraduate,"Lab, Lecture, Combined lecture and lab",True,2020-2021,,,,['agri']
AGCM 3223,Agricultural Communications (AGCM),Digital and Online Media in Agricultural Communications,"Fundamentals of using digital and online media and mass communication for agriculture and natural resources, including web, social media and email marketing. Practical application of theory and skills related to design, management and evaluation of digital and online media.

",Undergraduate,"Lab, Lecture, Combined lecture and lab",True,2020-2021,,,,['agri']
AGCM 3233,Agricultural Communications (AGCM),Basic Photography and Photo Editing for Agriculture,"Beginning course focusing on photographic equipment, related software and photo composition in an agricultural setting.

",Undergraduate,"Lab, Lecture, Combined lecture and lab",True,2020-2021,,,,['agri']
AGCM 3503,Agricultural Communications (AGCM),Issues Management and Crisis Communications in Agriculture and Natural Resources,"Theoretical perspectives and practical applications of issues management, crisis management, and crisis communications principles. Development of knowledge, skills, and abilities necessary for identifying and managing issues faced by organizations; leading organizations through crises; and communicating before, during and after crisis. 

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGCM 4113,Agricultural Communications (AGCM),Features Writing and Editing for Agricultural Publications,"Brainstorming, researching, interviewing, developing, writing and editing feature stories for agricultural publications. May not be used for degree credit with AGCM 5113.

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGCM 4203,Agricultural Communications (AGCM),Professional Development in Agricultural Communications,"Professional preparation and personal development for careers in agricultural communications, including business communications writing, resume and portfolio development, presentation delivery, financial planning and management, networking, and job interview skills. 

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGCM 4233,Agricultural Communications (AGCM),Agricultural Photography Tour,"Agricultural photography travel course focused on advanced composition techniques including but not limited to night photography, portraits, painting, etc. Students will be exposed to many cultural and agricultural sites from a photographic perspective. No credit for students with credit in AGCM 5233. 



",Undergraduate,"Lab, Lecture, Combined lecture and lab",True,2020-2021,,,,['agri']
AGCM 4300,Agricultural Communications (AGCM),Internships in Agricultural Communications,"Supervised work experience with approved employers in agricultural communications. Presentation required following the internship experience. Previously offered as AGCM 4500.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.

",Undergraduate,Independent Study,False,2020-2021,,,,['agri']
AGCM 4403,Agricultural Communications (AGCM),Planning Campaigns for Agriculture and Natural Resources,"Communications campaign development for agriculture and natural resources activities and issues, including development of materials, budgets and contracts.

",Undergraduate,"Lab, Lecture, Combined lecture and lab",True,2020-2021,,,,['agri']
AGCM 4413,Agricultural Communications (AGCM),Agricultural Communications Capstone,"The development of an agricultural magazine through advanced feature writing and editing, page layout, graphic design, photography, and sponsor communications as well as an understanding of the printing process. May not be used for degree credit with AGCM 4413.



",Undergraduate,"Lab, Lecture, Combined lecture and lab",True,2020-2021,,,,['agri']
AGCM 4990,Agricultural Communications (AGCM),Problems in Agricultural Communications,"Small group and individual study and research in problems relating to communications within the agricultural sector and from the agricultural sector to other constituencies.

",Undergraduate,Independent Study,False,2020-2021,,,,['agri']
AGCM 5100,Agricultural Communications (AGCM),Special Topics in Agricultural Communications,"Investigation of specialized and/or advanced topics and issues related to agricultural communications.

Offered for variable credit, 1-3 credit hours, maximum of 6 credit hours.

",Graduate,Independent Study,False,2020-2021,,,,['agri']
AGCM 5103,Agricultural Communications (AGCM),History and Philosophical Foundations of Agricultural Communications,"Discussion of the history, philosophical foundations and current issues regarding agricultural communications and the land-grant system.

",Graduate,Lecture,False,2020-2021,,,,"['agri', 'land']"
AGCM 5113,Agricultural Communications (AGCM),Features Writing and Editing for Agricultural Publications,"Brainstorming, researching, interviewing, developing, writing and editing feature stories for agricultural publications. May not be used for degree credit with AGCM 4113.



",Graduate,Lecture,False,2020-2021,,,,['agri']
AGCM 5132,Agricultural Communications (AGCM),Writing for Scholarly Publications in Agricultural Sciences and Natural Resources,"Development of scientific writing skills for agricultural sciences and natural resources disciplines, including research proposals, theses, dissertations, conference papers, and journal articles.

",Graduate,Lecture,False,2020-2021,,,,['agri']
AGCM 5203,Agricultural Communications (AGCM),Theory and Practice in Agricultural Communications,"The study of major communication theories and theorists in the context of agricultural communications.

",Graduate,Lecture,False,2020-2021,,,,['agri']
AGCM 5213,Agricultural Communications (AGCM),Advanced Concepts in Agricultural Publishing,"Analysis, redesign and creation of agricultural publications. Evaluation of audience, production, advertising and editorial content.

",Graduate,Lecture,False,2020-2021,,,,['agri']
AGCM 5233,Agricultural Communications (AGCM),Agricultural Photography Tour,"Agricultural photography travel course focused on advanced composition techniques including but not limited to night photography, portraits, painting, etc. Students will be exposed to many cultural and agricultural sites from a photographic perspective. No credit for students with credit in AGCM 4233.


",Graduate,"Lab, Lecture, Combined lecture and lab",True,2020-2021,,,,['agri']
AGCM 5303,Agricultural Communications (AGCM),Communicating Ethical Issues in Agriculture,"An introduction to communicating ethical theories in the context of agriculture. Ethical theory and current research are used to critique contemporary issues in agriculture.

",Graduate,Lecture,False,2020-2021,,,,['agri']
AGCM 5403,Agricultural Communications (AGCM),Public Relations Campaigns in Agricultural Sciences and Natural Resources,"Public relations campaign development for agriculture and natural resources organizations and issues, including public relations theory, strategic planning and campaign material development. No credit for students with credit in AGCM 4403.

",Graduate,"Lab, Lecture, Combined lecture and lab",True,2020-2021,,,,['agri']
AGCM 5413,Agricultural Communications (AGCM),Agricultural Communications Capstone,No Description,Graduate,"Lab, Lecture, Combined lecture and lab",True,2020-2021,,,,['agri']
AGCM 5503,Agricultural Communications (AGCM),Risk and Crisis Communication in Agricultural Sciences and Natural Resources,"Development of risk and crisis communication skills and knowledge with special emphasis in agricultural sciences and natural resources.
",Graduate,Lecture,False,2020-2021,,,,['agri']
AGCM 5990,Agricultural Communications (AGCM),Advanced Studies in Agricultural Communications,"Individual and small group study or research in agricultural communications topics and issues.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.

",Graduate,Independent Study,False,2020-2021,,,,['agri']
AGEC 1101,Agricultural Economics (AGEC),Agricultural Economics and Agribusiness Experience,"Developing connections between the student’s major curriculum, career goals specific to agricultural economics or agribusiness, and networking with other students, faculty and alumni.
",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 1113,Agricultural Economics (AGEC),Introduction to Agricultural Economics (S),"Economic theory of production, marketing, and consumption of agricultural products and natural resources. The role and structure of agricultural sciences and natural resources within the American economy. Policies to achieve efficiency and welfare goals in agriculture. No general education credit for students also taking ECON 1113 or ECON 2103. Previously offered as AGEC 1114.
",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 2303,Agricultural Economics (AGEC),Food Marketing to a Diverse Population (D),"Food and beverage demand and preferences of socially and ethnically constructed groups in American Society. Real life issues of marketing to a diverse population, including Native, Asian, African and Hispanic Americans, and low-income populations.
",Undergraduate,Lecture,False,2020-2021,,,,['food']
AGEC 2313,Agricultural Economics (AGEC),Case Studies in Agricultural Trade and Development,"Real world issues in international trade and development of agricultural and food products. Development of an understanding of issues facing policymakers, producers, consumers, and other groups in examining the costs and benefits of various trade and development programs.

",Undergraduate,Lecture,False,2020-2021,,,,"['agri', 'food']"
AGEC 2990,Agricultural Economics (AGEC),Problems in Agricultural Economics and Agribusiness,"Directed study on topics related to agricultural economics or agribusiness.

Offered for variable credit, 1-3 credit hours, maximum of 6 credit hours.

",Undergraduate,Independent Study,False,2020-2021,,,,['agri']
AGEC 3010,Agricultural Economics (AGEC),Internship in Agricultural Economics,"Supervised work experience with approved public and private employers in agricultural economics, including banks, farm credit services, agriculture chemical firms, Soil Conservation Service, congressional offices and other opportunities. Credit will not substitute for required courses. Graded on a pass-fail basis.

Offered for variable credit, 1-3 credit hours, maximum of 3 credit hours.

",Undergraduate,Independent Study,False,2020-2021,,,,"['agri', 'farm', ' soil']"
AGEC 3023,Agricultural Economics (AGEC),Farm to Fork,Survey of agriculture and natural resources and their relationships to society. Role of advanced scientific technologies in alternative systems of food production and distribution.,Undergraduate,Lecture,False,2020-2021,,,,"['agri', 'farm', 'food']"
AGEC 3101,Agricultural Economics (AGEC),Professional Career Development,"Overview of the various areas of specialization within agricultural economics and agribusiness and their associated career opportunities and obligations. Development and improvement of written communication, oral communication and leadership skills. Previously offered as AGEC 4902.

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 3183,Agricultural Economics (AGEC),Agribusiness Accounting and Taxation,"Development of the ability to read, analyze, and use accounting information to improve decision-making and tax planning.  Same course as ACCT 3183.

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 3213,Agricultural Economics (AGEC),Quantitative Methods in Agricultural Economics,"Indices, graphics, budgeting, interest calculations, compounding and discounting, basic statistic measures, regression, optimization and computer applications.

",Undergraduate,"Lab, Lecture, Combined lecture and lab",True,2020-2021,,,,['agri']
AGEC 3323,Agricultural Economics (AGEC),Agricultural Product Marketing and Sales,"Fundamentals of agricultural marketing management and planning applied to specific agricultural product (input and output) marketing problems. Institutional differences between agricultural and non-agricultural marketing environments. The role of the individual sales representative in a marketing and sales organization. Written and oral presentations of marketing and sales information required of all students. Previously offered as AGEC 4313.

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 3333,Agricultural Economics (AGEC),Agricultural Marketing and Price Analysis,"Supply, demand, and price determination within the institutional environment of agricultural commodity markets. Roles provided by government intervention, marketing agreements, and cooperatives in agricultural markets. Includes graphical, mathematical, and statistical analysis of commodity markets. Fundamentals of futures markets applied to agriculture. Previously offered as AGEC 3303.



",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 3403,Agricultural Economics (AGEC),Agricultural Small Business Management,"The essentials of operating an agricultural small business. An introduction to the planning, organizing, marketing, managing, financing, controlling and operating an agricultural small business. Not recommended for agricultural economics or agribusiness majors. No credit for students with prior credit in 4423.

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 3423,Agricultural Economics (AGEC),Farm and Agribusiness Management,"Fundamentals of managerial functions as applied to agricultural firms. Organization and management of human, financial, and physical assets for the profitable operation of an agricultural business. An introduction to business planning, enterprise budgeting, financial statements and record keeping. Previously offered as AGEC 3413.

",Undergraduate,"Discussion, Combined lecture & discussion, Lecture",False,2020-2021,,,,"['agri', 'farm']"
AGEC 3463,Agricultural Economics (AGEC),Agricultural Cooperatives,"An evaluation of the fundamental principles, objectives, structure, finance, and management associated with the cooperative organization. An analysis of the cooperative business organization within the modern economy: history, legislation and evolution. An examination of careers related to cooperatives. Previously offered as AGEC 3313.

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 3503,Agricultural Economics (AGEC),Natural Resource Economics,"Framework for analyzing natural resource management decisions. Applications of microeconomic theory to the management of soil, water, and other resources, with special emphasis on the institutions having an impact on management opportunities. Supply of and demand for natural resources, resource allocation over time, rights of ownership, public issues of taxation, police power and eminent domain.

",Undergraduate,Lecture,False,2020-2021,,,,[' soil']
AGEC 3603,Agricultural Economics (AGEC),Agricultural Finance,"Analyze farm and agribusiness financial statements. Understand the relationship between firm growth and financial leverage. Time value of money concepts and their application to capital budgeting. Discuss how agricultural lenders acquire and use funds.

",Undergraduate,Lecture,False,2020-2021,,,,"['agri', 'farm']"
AGEC 3703,Agricultural Economics (AGEC),Issues in Agricultural Policy,"Emerging issues related to agricultural policy in the United States.

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 3713,Agricultural Economics (AGEC),Agricultural Law,"Survey of law with emphasis on agricultural problems, applications, and strategies for managing legal risk in the agribusiness setting. Contract law, tort law, property law, real estate transactions, business organization, estate planning, debtor/creditor law, environmental law and water/resources law. Previously offered as AGEC 4413.

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 3803,Agricultural Economics (AGEC),International Agricultural Economics Tour (I),"A two-three week international travel component. An integrated approach to the cultural, agricultural, historical, technological, political, economic, and religious backgrounds of the region. Comparison of the agricultural business environment of the region to that of the U.S. Previously offered as AGEC 4803.



",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 3810,Agricultural Economics (AGEC),Domestic Agricultural Economics Tour,"An integrated approach to the cultural, agricultural, historical, technological, political and economic backgrounds of an agricultural region of the United States.

Offered for variable credit, 1-3 credit hours, maximum of 3 credit hours.

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 3990,Agricultural Economics (AGEC),Special Problems in Agricultural Economics,"Directed study of selected agricultural economics topics.

Offered for variable credit, 1-3 credit hours, maximum of 3 credit hours.
",Undergraduate,Independent Study,False,2020-2021,,,,['agri']
AGEC 4101,Agricultural Economics (AGEC),Agricultural Economics Seminar,"Contemporary problems in agricultural economics. Previously offered as AGEC 4911.

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 4213,Agricultural Economics (AGEC),Advanced Quantitative Methods in Agricultural Economics,"Quantitative analysis of agricultural production and markets including risk and uncertainty. Introduction to simulation. Development of statistical and software skills. Written presentation of an analysis of data. Previously offered as AGEC 3203. May not be used for Degree Credit with AGEC 5013.

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 4223,Agricultural Economics (AGEC),Quantitative Supply Chain Management in Agribusiness,"Challenge in food supply chain management. Tools to solve logistics problems including traveling salesperson, vehicle routing, and distribution center problems. Forecasting sales and queuing theory. Introduction to specialized software used in supply chain management. May not be used for Degree Credit with AGEC 5023.



",Undergraduate,Lecture,False,2020-2021,,,,"['agri', 'food']"
AGEC 4243,Agricultural Economics (AGEC),Researching Consumer Food Preferences,"Design, implementation, and interpretation of research in consumer food preferences. Includes design of consumer surveys, conducting consumer interviews, preparing food and questionnaires for taste-test experiments, targeting and recruiting scientifically valid samples, the statistical analysis of data, and communication of results. Previously offered as FDSC 4243.



",Undergraduate,Lecture,False,2020-2021,,,,"['food', ' taste']"
AGEC 4343,Agricultural Economics (AGEC),International Agricultural Markets and Trade (I),"Contemporary international agricultural trade theory and applications. Tools to identify, evaluate critically, and seek solutions to complex international trade and development problems, such as gains from trade, comparative advantage, impacts of trade barriers on social welfare, export promotion effectiveness, trade impacts on environment and land degradation, free trade areas and impacts of genetically modified crops on trade.

",Undergraduate,Lecture,False,2020-2021,,,,"['agri', 'crop', 'land']"
AGEC 4403,Agricultural Economics (AGEC),Advanced Farm and Ranch Management,"The development of problem solving and risk management skills needed on the modern farm or ranch. Use of spreadsheets to perform production planning and analysis of farm and ranch problems with linear programming, simulations, and other tools. Analysis of the acquisition of resources and the use of information systems in managing the individual farm or ranch business. May not be used for Degree Credit with AGEC 5043.

",Undergraduate,"Discussion, Combined lecture & discussion, Lecture",False,2020-2021,,,,"['farm', ' ranch']"
AGEC 4423,Agricultural Economics (AGEC),Advanced Agribusiness Management,"Application of modern decision theory in the uncertain environment that the agricultural business operates. Planning, organizing, implementing, coordinating, and controlling problems associated with establishing an agricultural business, achieving firm growth and operating the firm through time. Use of spreadsheets to perform production planning and analysis related to agricultural business operation with linear programming, simulations, and other tools. Analysis of the interaction of resources, prices and production alternatives. Previously offered as AGEC 4323. May not be used for Degree Credit with AGEC 5423.

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 4513,Agricultural Economics (AGEC),Farm Appraisal,"Estimating the market value of agricultural real estate using the three approaches to value - sales comparison, cost and income approaches. Analysis of sales to value the different characteristics of the farm. May not be used for Degree Credit with AGEC 5513.

",Undergraduate,"Lab, Lecture, Combined lecture and lab",True,2020-2021,,,,"['agri', 'farm']"
AGEC 4613,Agricultural Economics (AGEC),Advanced Agricultural Finance,"Advanced time value of money and financial management concepts as applied to the management of agricultural firms. Incorporating risk into agricultural investment and financial management decisions. Introduction to risk modeling. May not be used for degree credit with AGEC 5603.

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 4703,Agricultural Economics (AGEC),American Agricultural Policy,"Economic characteristics and problems of agriculture; evolution and significance of programs and policies. May not be used for Degree Credit with AGEC 5703.

",Undergraduate,Lecture,False,2020-2021,,,,['agri']
AGEC 4723,Agricultural Economics (AGEC),Rural Economics Development,"Concepts, theories, and applications of regional and community economics, including the theories of economic development, analytic techniques, infrastructure and community services, targeted development and associated policies. Focus on domestic rural areas. May not be used for Degree Credit with AGEC 5073.

",Undergraduate,Lecture,False,2020-2021,,,,[' rural ']
AGEC 4990,Agricultural Economics (AGEC),Problems of Agricultural Economics,"Research on special problems in agricultural economics.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.

",Undergraduate,Independent Study,False,2020-2021,,,,['agri']
AGEC 5000,Agricultural Economics (AGEC),Master's Thesis/Report,"For students working on an MS degree in agricultural economics. Independent research and thesis under the direction and supervision of a major professor.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.
",Graduate,Independent Study,False,2020-2021,,,,['agri']
AGEC 5010,Agricultural Economics (AGEC),Professional Experience in Agricultural Economics or Agribusiness,"Supervised professional experience with approved public and private employers in agricultural economics or agribusiness. Designed for Master of Agriculture program. Graded on pass-fail basis.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.

",Graduate,Independent Study,False,2020-2021,,,,['agri']
AGEC 5013,Agricultural Economics (AGEC),Advanced Quantitative Methods in Agricultural Economics,"Quantitative analysis of agricultural production and markets including risk and uncertainty. Introduction to simulation. Development of statistical and software skills. Written presentation of an analysis of data. May not be used for degree credit with AGEC 4213.



",Graduate,Lecture,False,2020-2021,,,,['agri']
AGEC 5023,Agricultural Economics (AGEC),Quantitative Supply Chain Management in Agribusiness,"Challenge in food supply chain management. Tools to solve logistics problems including traveling salesperson, vehicle routing, and distribution center problems. Forecasting sales and queuing theory. Introduction to specialized software used in supply chain management. May not be used for degree credit with AGEC 4223.



",Graduate,Lecture,False,2020-2021,,,,"['agri', 'food']"
AGEC 5043,Agricultural Economics (AGEC),Advanced Farm and Ranch Management,"The development of problem solving and risk management skills needed on the modern farm or ranch. Use of spreadsheets to perform production planning and analysis of farm and ranch problems with linear programming, simulations, and other tools. Analysis of the acquisition of resources and the use of information systems in managing the individual farm or ranch business. May not be used for Degree Credit with AGEC 4403.



",Graduate,"Discussion, Combined lecture & discussion, Lecture",False,2020-2021,,,,"['farm', ' ranch']"
AGEC 5073,Agricultural Economics (AGEC),Rural Economics Development,"Concepts, theories, and applications of regional and community economics, including the theories of economic development, analytic techniques, infrastructure and community services, targeted development and associated policies. Focus on domestic rural areas. May not be used for degree credit with AGEC 4723.



",Graduate,Lecture,False,2020-2021,,,,[' rural ']
AGEC 5101,Agricultural Economics (AGEC),Research Methodology,"Using the scientific method to solve problems related to agriculture. Preparation of a thesis proposal required.

",Graduate,Lecture,False,2020-2021,,,,['agri']
AGEC 5113,Agricultural Economics (AGEC),Applications of Mathematical Programming,"The application of concepts and principles of existing linear and nonlinear programming techniques to agricultural problems.



",Graduate,Lecture,False,2020-2021,,,,['agri']
AGEC 5203,Agricultural Economics (AGEC),Advanced Agricultural Prices,"Demand and price structures, price discovery, time series and agricultural price research methods.

",Graduate,Lecture,False,2020-2021,,,,['agri']
AGEC 5213,Agricultural Economics (AGEC),Econometric Methods,"Application of econometric techniques to agricultural economic problems, theory and estimation of structural economic parameters.

",Graduate,Lecture,False,2020-2021,,,,['agri']
AGEC 5311,Agricultural Economics (AGEC),Agricultural Marketing: Concepts and Tools,"Role of markets and prices in the food system. Price variation across space, time, and form. Previously offered as AGEC 5303.



",Graduate,Lecture,False,2020-2021,,,,"['agri', 'food']"
AGEC 5321,Agricultural Economics (AGEC),Agricultural Marketing and Economic Development,"Role of marketing in economic development, focusing on international economics; role of institutions in a market economy.

",Graduate,Lecture,False,2020-2021,,,,['agri']
AGEC 5331,Agricultural Economics (AGEC),Agricultural Marketing: Advanced Concepts,"Advanced topics in price variation across space, time, and form. Market and firm efficiency. Market structure, conduct and performance; role of information in a market economy; and other selected topics.

",Graduate,Lecture,False,2020-2021,,,,['agri']
AGEC 5343,Agricultural Economics (AGEC),International Agricultural Markets and Trade,"Contemporary international agricultural trade theory and applications. Broaden students' understanding of contemporary cultural and economic issues outside the U.S. that affect global demand. Gains from trade and the theory of comparative advantage. No credit for students with credit in AGEC 4343.
",Graduate,Lecture,False,2020-2021,,,,['agri']
AGEC 5423,Agricultural Economics (AGEC),Agribusiness Management,"Application of quantitative analysis to the evaluation of business plans for agribusiness firms. Preparation of business plans, including mission statements, financial analyses, marketing plans, personnel and organization requirements of the firm, production and operations plans as well as a contingency plan. Analysis of risk factors associated with agriculturally-based companies. No credit for students with credit in AGEC 4423.

",Graduate,Lecture,False,2020-2021,,,,['agri']
AGEC 5463,Agricultural Economics (AGEC),Advanced Agricultural Cooperatives,"Advanced understanding of cooperative business model and management skills. Advanced cooperative finance including profit center analysis, equity management, working capital management, budgeting and capital budgeting.

",Graduate,Lecture,False,2020-2021,,,,['agri']
AGEC 5483,Agricultural Economics (AGEC),Bio-Energy Feasibility and Commercialization,"Feasibility and commercialization of bio-fuel and bio-based projects. Issues and processes in transitioning a project from pilot scale into commercialization.

","Graduate, Undergraduate",Lecture,False,2020-2021,,,,['bio-based']
AGEC 5503,Agricultural Economics (AGEC),Economics of Natural and Environmental Resource Policy,"Economics of long-term resource use with particular emphasis on agricultural and environmental problems. Methods for estimation of nonmarket prices. Cost benefits analysis of long-term natural resource use and environmental policy. Elementary computer simulation of long-term resource use and environmental policy.

",Graduate,Lecture,False,2020-2021,,,,['agri']
AGEC 5513,Agricultural Economics (AGEC),Farm Appraisal,"Estimating the market value of agricultural real estate using the three approaches to value - sales comparison, cost and income approaches. Analysis of sales to value the different characteristics of the farm. May not be used for degree credit with AGEC 4513.



",Graduate,"Lab, Lecture, Combined lecture and lab",True,2020-2021,,,,"['agri', 'farm']"
AGEC 5603,Agricultural Economics (AGEC),Advanced Agricultural Finance,"Advanced investment and financial management concepts applied firms that operate in the agricultural sector. Incorporating uncertainty and risk into financial modeling and decision making via stochastic simulation and other tools. Risk/return tradeoff for stocks, portfolio management and business investments. May not be used for degree credit with AGEC 4613. Same course as AGEC 4613.



",Graduate,Lecture,False,2020-2021,,,,['agri']
AGEC 5703,Agricultural Economics (AGEC),Economics of Agriculture and Food Policy,"Application of welfare criteria and economic analysis to agricultural, food, and rural development problems and policies. May not be used for degree credit with AGEC 4703.

",Graduate,Lecture,False,2020-2021,,,,"['agri', 'food', ' rural ']"
AGEC 5713,Agricultural Economics (AGEC),Rural Regional Analysis,"Concepts of market and nonmarket based rural welfare; theories of regional growth as applied to rural areas; methods of regional analysis including computable general equilibrium; analysis of policies and programs for improving welfare of rural population groups.

",Graduate,Lecture,False,2020-2021,,,,[' rural ']
AGEC 5723,Agricultural Economics (AGEC),Plan & Pol Devlpmnt,"Economics of market-based planning and policy analysis for developing countries, topics and tools in macro- and microeconomics of development, and social cost-benefit and project analysis with emphasis on agricultural and public policy. Hands-on application of econometrics, input-output analysis and cost-benefit analysis using econometric software.

",Graduate,Lecture,False,2020-2021,,,,['agri']
